LoopID : 1; InstanceID : 0; LoopCount : 25000; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402df0; MOVUPS (%RSI,%RAX,8),%XMM0                        ;	load;	l;	0x402df0;	0;	256;	24744;	0;	2048;	22952;	0;	25000;	0

0x402df0; MOVUPS (%RSI,%RAX,8),%XMM0                        ;	load;	l;	0x402df0;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402df4; MOVUPS 0x10(%RSI,%RAX,8),%XMM1                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS 0x20(%RSI,%RAX,8),%XMM2                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dfe; MOVUPS 0x30(%RSI,%RAX,8),%XMM3                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e03; SUBPD (%R8,%RAX,8),%XMM0                          ;	load;	f;	0x402e10;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402e09; SUBPD 0x10(%R8,%RAX,8),%XMM1                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e10; SUBPD 0x20(%R8,%RAX,8),%XMM2                      ;	load;	l;	0x402e10;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402e17; SUBPD 0x30(%R8,%RAX,8),%XMM3                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1e; MOVUPS %XMM0,(%RSI,%RAX,8)                        ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e22; MOVUPS %XMM1,0x10(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e27; MOVUPS %XMM2,0x20(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2c; MOVUPS %XMM3,0x30(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	250447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	20870.583;	0.000;	4129.417;	284.667;	0.000;	3844.750;	3844.750;	0.000;	0.000

LoopID : 1; InstanceID : 51; LoopCount : 25000; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402df0; MOVUPS (%RSI,%RAX,8),%XMM0                        ;	load;	l;	0x402df0;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402df4; MOVUPS 0x10(%RSI,%RAX,8),%XMM1                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS 0x20(%RSI,%RAX,8),%XMM2                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dfe; MOVUPS 0x30(%RSI,%RAX,8),%XMM3                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e03; SUBPD (%R8,%RAX,8),%XMM0                          ;	load;	f;	0x402e10;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402e09; SUBPD 0x10(%R8,%RAX,8),%XMM1                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e10; SUBPD 0x20(%R8,%RAX,8),%XMM2                      ;	load;	l;	0x402e10;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402e17; SUBPD 0x30(%R8,%RAX,8),%XMM3                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1e; MOVUPS %XMM0,(%RSI,%RAX,8)                        ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e22; MOVUPS %XMM1,0x10(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e27; MOVUPS %XMM2,0x20(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2c; MOVUPS %XMM3,0x30(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	250447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	20870.583;	0.000;	4129.417;	284.667;	0.000;	3844.750;	3844.750;	0.000;	0.000

LoopID : 1; InstanceID : 52; LoopCount : 25000; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402df0; MOVUPS (%RSI,%RAX,8),%XMM0                        ;	load;	l;	0x402df0;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402df4; MOVUPS 0x10(%RSI,%RAX,8),%XMM1                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS 0x20(%RSI,%RAX,8),%XMM2                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dfe; MOVUPS 0x30(%RSI,%RAX,8),%XMM3                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e03; SUBPD (%R8,%RAX,8),%XMM0                          ;	load;	f;	0x402e10;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402e09; SUBPD 0x10(%R8,%RAX,8),%XMM1                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e10; SUBPD 0x20(%R8,%RAX,8),%XMM2                      ;	load;	l;	0x402e10;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402e17; SUBPD 0x30(%R8,%RAX,8),%XMM3                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1e; MOVUPS %XMM0,(%RSI,%RAX,8)                        ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e22; MOVUPS %XMM1,0x10(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e27; MOVUPS %XMM2,0x20(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2c; MOVUPS %XMM3,0x30(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	250447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	20870.583;	0.000;	4129.417;	284.667;	0.000;	3844.750;	3844.750;	0.000;	0.000

LoopID : 1; InstanceID : 53; LoopCount : 25000; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402df0; MOVUPS (%RSI,%RAX,8),%XMM0                        ;	load;	l;	0x402df0;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402df4; MOVUPS 0x10(%RSI,%RAX,8),%XMM1                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS 0x20(%RSI,%RAX,8),%XMM2                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dfe; MOVUPS 0x30(%RSI,%RAX,8),%XMM3                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e03; SUBPD (%R8,%RAX,8),%XMM0                          ;	load;	f;	0x402e10;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402e09; SUBPD 0x10(%R8,%RAX,8),%XMM1                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e10; SUBPD 0x20(%R8,%RAX,8),%XMM2                      ;	load;	l;	0x402e10;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402e17; SUBPD 0x30(%R8,%RAX,8),%XMM3                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1e; MOVUPS %XMM0,(%RSI,%RAX,8)                        ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e22; MOVUPS %XMM1,0x10(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e27; MOVUPS %XMM2,0x20(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2c; MOVUPS %XMM3,0x30(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	250447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	20870.583;	0.000;	4129.417;	284.667;	0.000;	3844.750;	3844.750;	0.000;	0.000

LoopID : 1; InstanceID : 54; LoopCount : 25000; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402df0; MOVUPS (%RSI,%RAX,8),%XMM0                        ;	load;	l;	0x402df0;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402df4; MOVUPS 0x10(%RSI,%RAX,8),%XMM1                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS 0x20(%RSI,%RAX,8),%XMM2                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dfe; MOVUPS 0x30(%RSI,%RAX,8),%XMM3                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e03; SUBPD (%R8,%RAX,8),%XMM0                          ;	load;	f;	0x402e10;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402e09; SUBPD 0x10(%R8,%RAX,8),%XMM1                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e10; SUBPD 0x20(%R8,%RAX,8),%XMM2                      ;	load;	l;	0x402e10;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402e17; SUBPD 0x30(%R8,%RAX,8),%XMM3                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1e; MOVUPS %XMM0,(%RSI,%RAX,8)                        ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e22; MOVUPS %XMM1,0x10(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e27; MOVUPS %XMM2,0x20(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2c; MOVUPS %XMM3,0x30(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	250447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	20870.583;	0.000;	4129.417;	284.667;	0.000;	3844.750;	3844.750;	0.000;	0.000

LoopID : 1; InstanceID : 55; LoopCount : 25000; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402df0; MOVUPS (%RSI,%RAX,8),%XMM0                        ;	load;	l;	0x402df0;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402df4; MOVUPS 0x10(%RSI,%RAX,8),%XMM1                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS 0x20(%RSI,%RAX,8),%XMM2                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dfe; MOVUPS 0x30(%RSI,%RAX,8),%XMM3                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e03; SUBPD (%R8,%RAX,8),%XMM0                          ;	load;	f;	0x402e10;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402e09; SUBPD 0x10(%R8,%RAX,8),%XMM1                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e10; SUBPD 0x20(%R8,%RAX,8),%XMM2                      ;	load;	l;	0x402e10;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402e17; SUBPD 0x30(%R8,%RAX,8),%XMM3                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1e; MOVUPS %XMM0,(%RSI,%RAX,8)                        ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e22; MOVUPS %XMM1,0x10(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e27; MOVUPS %XMM2,0x20(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2c; MOVUPS %XMM3,0x30(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	250447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	20870.583;	0.000;	4129.417;	284.667;	0.000;	3844.750;	3844.750;	0.000;	0.000

LoopID : 1; InstanceID : 56; LoopCount : 25000; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402df0; MOVUPS (%RSI,%RAX,8),%XMM0                        ;	load;	l;	0x402df0;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402df4; MOVUPS 0x10(%RSI,%RAX,8),%XMM1                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS 0x20(%RSI,%RAX,8),%XMM2                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dfe; MOVUPS 0x30(%RSI,%RAX,8),%XMM3                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e03; SUBPD (%R8,%RAX,8),%XMM0                          ;	load;	f;	0x402e10;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402e09; SUBPD 0x10(%R8,%RAX,8),%XMM1                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e10; SUBPD 0x20(%R8,%RAX,8),%XMM2                      ;	load;	l;	0x402e10;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402e17; SUBPD 0x30(%R8,%RAX,8),%XMM3                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1e; MOVUPS %XMM0,(%RSI,%RAX,8)                        ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e22; MOVUPS %XMM1,0x10(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e27; MOVUPS %XMM2,0x20(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2c; MOVUPS %XMM3,0x30(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	250447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	20870.583;	0.000;	4129.417;	284.667;	0.000;	3844.750;	3844.750;	0.000;	0.000

LoopID : 1; InstanceID : 57; LoopCount : 25000; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402df0; MOVUPS (%RSI,%RAX,8),%XMM0                        ;	load;	l;	0x402df0;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402df4; MOVUPS 0x10(%RSI,%RAX,8),%XMM1                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS 0x20(%RSI,%RAX,8),%XMM2                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dfe; MOVUPS 0x30(%RSI,%RAX,8),%XMM3                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e03; SUBPD (%R8,%RAX,8),%XMM0                          ;	load;	f;	0x402e10;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402e09; SUBPD 0x10(%R8,%RAX,8),%XMM1                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e10; SUBPD 0x20(%R8,%RAX,8),%XMM2                      ;	load;	l;	0x402e10;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402e17; SUBPD 0x30(%R8,%RAX,8),%XMM3                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1e; MOVUPS %XMM0,(%RSI,%RAX,8)                        ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e22; MOVUPS %XMM1,0x10(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e27; MOVUPS %XMM2,0x20(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2c; MOVUPS %XMM3,0x30(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	250447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	20870.583;	0.000;	4129.417;	284.667;	0.000;	3844.750;	3844.750;	0.000;	0.000

LoopID : 1; InstanceID : 58; LoopCount : 25000; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402df0; MOVUPS (%RSI,%RAX,8),%XMM0                        ;	load;	l;	0x402df0;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402df4; MOVUPS 0x10(%RSI,%RAX,8),%XMM1                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS 0x20(%RSI,%RAX,8),%XMM2                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dfe; MOVUPS 0x30(%RSI,%RAX,8),%XMM3                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e03; SUBPD (%R8,%RAX,8),%XMM0                          ;	load;	f;	0x402e10;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402e09; SUBPD 0x10(%R8,%RAX,8),%XMM1                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e10; SUBPD 0x20(%R8,%RAX,8),%XMM2                      ;	load;	l;	0x402e10;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402e17; SUBPD 0x30(%R8,%RAX,8),%XMM3                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1e; MOVUPS %XMM0,(%RSI,%RAX,8)                        ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e22; MOVUPS %XMM1,0x10(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e27; MOVUPS %XMM2,0x20(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2c; MOVUPS %XMM3,0x30(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	250447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	20870.583;	0.000;	4129.417;	284.667;	0.000;	3844.750;	3844.750;	0.000;	0.000

LoopID : 1; InstanceID : 59; LoopCount : 25000; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402df0; MOVUPS (%RSI,%RAX,8),%XMM0                        ;	load;	l;	0x402df0;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402df4; MOVUPS 0x10(%RSI,%RAX,8),%XMM1                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS 0x20(%RSI,%RAX,8),%XMM2                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dfe; MOVUPS 0x30(%RSI,%RAX,8),%XMM3                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e03; SUBPD (%R8,%RAX,8),%XMM0                          ;	load;	f;	0x402e10;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402e09; SUBPD 0x10(%R8,%RAX,8),%XMM1                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e10; SUBPD 0x20(%R8,%RAX,8),%XMM2                      ;	load;	l;	0x402e10;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402e17; SUBPD 0x30(%R8,%RAX,8),%XMM3                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1e; MOVUPS %XMM0,(%RSI,%RAX,8)                        ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e22; MOVUPS %XMM1,0x10(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e27; MOVUPS %XMM2,0x20(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2c; MOVUPS %XMM3,0x30(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	250447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	20870.583;	0.000;	4129.417;	284.667;	0.000;	3844.750;	3844.750;	0.000;	0.000

LoopID : 1; InstanceID : 60; LoopCount : 25000; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402df0; MOVUPS (%RSI,%RAX,8),%XMM0                        ;	load;	l;	0x402df0;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402df4; MOVUPS 0x10(%RSI,%RAX,8),%XMM1                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS 0x20(%RSI,%RAX,8),%XMM2                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dfe; MOVUPS 0x30(%RSI,%RAX,8),%XMM3                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e03; SUBPD (%R8,%RAX,8),%XMM0                          ;	load;	f;	0x402e10;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402e09; SUBPD 0x10(%R8,%RAX,8),%XMM1                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e10; SUBPD 0x20(%R8,%RAX,8),%XMM2                      ;	load;	l;	0x402e10;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402e17; SUBPD 0x30(%R8,%RAX,8),%XMM3                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1e; MOVUPS %XMM0,(%RSI,%RAX,8)                        ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e22; MOVUPS %XMM1,0x10(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e27; MOVUPS %XMM2,0x20(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2c; MOVUPS %XMM3,0x30(%RSI,%RAX,8)                    ;	store;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	250447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	20870.583;	0.000;	4129.417;	284.667;	0.000;	3844.750;	3844.750;	0.000;	0.000

LoopID : 1; InstanceID : 61; LoopCount : 25000; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402df0; MOVUPS (%RSI,%RAX,8),%XMM0                        ;	load;	l;	0x402df0;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402df4; MOVUPS 0x10(%RSI,%RAX,8),%XMM1                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS 0x20(%RSI,%RAX,8),%XMM2                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dfe; MOVUPS 0x30(%RSI,%RAX,8),%XMM3                    ;	load;	f;	0x402df0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e03; SUBPD (%R8,%RAX,8),%XMM0                          ;	load;	f;	0x402e10;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402e09; SUBPD 0x10(%R8,%RAX,8),%XMM1                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e10; SUBPD 0x20(%R8,%RAX,8),%XMM2                      ;	load;	l;	0x402e10;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402e17; SUBPD 0x30(%R8,%RAX,8),%XMM3                      ;	load;	f;	0x402e10;	25000;	0;	0;	0;	0;	0;	0;	0;	0
