LoopID : 1; InstanceID : 0; LoopCount : 22; NbInsns : 40

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402e40; MOVSD 0x10(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e4b; MOVSD 0x38(%R15,%RDI,1),%XMM7                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e5a; MOVSD 0x20(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e65; ADDSD 0x30(%R15,%RBP,1),%XMM5                     ;	load;	l;	0x402e65;	0;	0;	22;	0;	21;	1;	0;	22;	0
0x402e6c; MOVSD 0x48(%R15,%RDI,1),%XMM9                     ;	load;	f;	0x402e65;	19;	0;	3;	2;	0;	1;	1;	0;	0
0x402e7c; ADDSD 0x30(%R15,%RBX,1),%XMM5                     ;	load;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e83; ADDSD 0x40(%R15,%RBP,1),%XMM7                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e8e; ADDSD 0x40(%R15,%RBX,1),%XMM7                     ;	load;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e95; MOVSD %XMM2,0x18(%R12,%R8,1)                      ;	store;	f;	0x402fa7;	20;	0;	2;	0;	0;	2;	2;	0;	0
0x402e9c; MOVSD 0x58(%R15,%RDI,1),%XMM11                    ;	load;	f;	0x402e65;	21;	0;	1;	0;	0;	1;	1;	0;	0
0x402ea3; MOVSD 0x68(%R15,%RDI,1),%XMM13                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402eb8; ADDSD 0x50(%R15,%RBP,1),%XMM9                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ebf; ADDSD 0x60(%R15,%RBP,1),%XMM11                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ec6; ADDSD 0x50(%R15,%RBX,1),%XMM9                     ;	load;	f;	0x402eb8;	13;	0;	9;	8;	0;	1;	1;	0;	0
0x402ecd; ADDSD 0x60(%R15,%RBX,1),%XMM11                    ;	load;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ede; MOVSD 0x78(%R15,%RDI,1),%XMM15                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ee5; MOVSD 0x88(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402ef9;	20;	0;	2;	1;	0;	1;	1;	0;	0
0x402ef9; ADDSD 0x70(%R15,%RBP,1),%XMM13                    ;	load;	l;	0x402ef9;	0;	0;	22;	0;	20;	2;	0;	22;	0
0x402f00; ADDSD 0x80(%R15,%RBP,1),%XMM15                    ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f0a; ADDSD 0x70(%R15,%RBX,1),%XMM13                    ;	load;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f11; ADDSD 0x80(%R15,%RBX,1),%XMM15                    ;	load;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f25; MOVSD %XMM3,0x10(%R12,%R8,1)                      ;	store;	f;	0x402fa7;	20;	0;	2;	0;	0;	2;	2;	0;	0
0x402f2c; MOVSD 0x30(%R15,%RDI,1),%XMM6                     ;	load;	f;	0x402ef9;	21;	0;	1;	0;	0;	1;	1;	0;	0
0x402f33; MOVSD 0x40(%R15,%RDI,1),%XMM8                     ;	load;	f;	0x402e65;	21;	0;	1;	0;	0;	1;	1;	0;	0
0x402f3a; MOVSD 0x50(%R15,%RDI,1),%XMM10                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f41; MOVSD 0x60(%R15,%RDI,1),%XMM12                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f48; MOVSD 0x70(%R15,%RDI,1),%XMM14                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f4f; MOVSD 0x80(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402ef9;	21;	0;	1;	0;	0;	1;	1;	0;	0
0x402f99; MOVSD %XMM6,0x20(%R12,%R8,1)                      ;	store;	f;	0x402fa7;	19;	0;	3;	0;	0;	3;	3;	0;	0
0x402fa0; MOVSD %XMM8,0x28(%R12,%R8,1)                      ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fa7; MOVSD %XMM10,0x30(%R12,%R8,1)                     ;	store;	l;	0x402fa7;	0;	0;	22;	0;	0;	22;	0;	22;	0
0x402fae; MOVSD %XMM12,0x38(%R12,%R8,1)                     ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fb5; MOVSD %XMM14,0x40(%R12,%R8,1)                     ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fbc; MOVSD %XMM3,0x48(%R12,%R8,1)                      ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	777.000;	0.000;	103.000;	19.000;	42.000;	42.000;	17.000;	67.000;	0.000
Sum(Column) / LoopCount:	19.425;	0.000;	2.575;	0.475;	1.050;	1.050;	0.425;	1.675;	0.000

LoopID : 1; InstanceID : 44; LoopCount : 22; NbInsns : 40

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402e03; MOVSD 0x18(%R15,%RDI,1),%XMM4                     ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e0d; MOVSD 0x28(%R15,%RDI,1),%XMM5                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1c; ADDSD 0x10(%R15,%RBP,1),%XMM2                     ;	load;	l;	0x402e1c;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402e23; ADDSD 0x20(%R15,%RBP,1),%XMM4                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2a; ADDSD 0x10(%R15,%RBX,1),%XMM2                     ;	load;	f;	0x402ef9;	19;	0;	3;	1;	0;	2;	2;	0;	0
0x402e31; ADDSD 0x20(%R15,%RBX,1),%XMM4                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e40; MOVSD 0x10(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e4b; MOVSD 0x38(%R15,%RDI,1),%XMM7                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e5a; MOVSD 0x20(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e65; ADDSD 0x30(%R15,%RBP,1),%XMM5                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e6c; MOVSD 0x48(%R15,%RDI,1),%XMM9                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e7c; ADDSD 0x30(%R15,%RBX,1),%XMM5                     ;	load;	f;	0x402e65;	19;	0;	3;	2;	0;	1;	1;	0;	0
0x402e83; ADDSD 0x40(%R15,%RBP,1),%XMM7                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e8e; ADDSD 0x40(%R15,%RBX,1),%XMM7                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e95; MOVSD %XMM2,0x18(%R12,%R8,1)                      ;	store;	f;	0x402f99;	20;	0;	2;	0;	0;	2;	2;	0;	0
0x402e9c; MOVSD 0x58(%R15,%RDI,1),%XMM11                    ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ea3; MOVSD 0x68(%R15,%RDI,1),%XMM13                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402eb8; ADDSD 0x50(%R15,%RBP,1),%XMM9                     ;	load;	l;	0x402eb8;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402ebf; ADDSD 0x60(%R15,%RBP,1),%XMM11                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ec6; ADDSD 0x50(%R15,%RBX,1),%XMM9                     ;	load;	f;	0x402e65;	21;	0;	1;	0;	0;	1;	1;	0;	0
0x402ecd; ADDSD 0x60(%R15,%RBX,1),%XMM11                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ede; MOVSD 0x78(%R15,%RDI,1),%XMM15                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ee5; MOVSD 0x88(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ef9; ADDSD 0x70(%R15,%RBP,1),%XMM13                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f00; ADDSD 0x80(%R15,%RBP,1),%XMM15                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f0a; ADDSD 0x70(%R15,%RBX,1),%XMM13                    ;	load;	f;	0x402ef9;	20;	0;	2;	1;	0;	1;	1;	0;	0
0x402f11; ADDSD 0x80(%R15,%RBX,1),%XMM15                    ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f25; MOVSD %XMM3,0x10(%R12,%R8,1)                      ;	store;	f;	0x402f99;	19;	0;	3;	1;	0;	2;	2;	0;	0
0x402f2c; MOVSD 0x30(%R15,%RDI,1),%XMM6                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f33; MOVSD 0x40(%R15,%RDI,1),%XMM8                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f3a; MOVSD 0x50(%R15,%RDI,1),%XMM10                    ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f41; MOVSD 0x60(%R15,%RDI,1),%XMM12                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f48; MOVSD 0x70(%R15,%RDI,1),%XMM14                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f4f; MOVSD 0x80(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f99; MOVSD %XMM6,0x20(%R12,%R8,1)                      ;	store;	l;	0x402f99;	0;	0;	22;	0;	19;	3;	0;	22;	0
0x402fa0; MOVSD %XMM8,0x28(%R12,%R8,1)                      ;	store;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fa7; MOVSD %XMM10,0x30(%R12,%R8,1)                     ;	store;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fae; MOVSD %XMM12,0x38(%R12,%R8,1)                     ;	store;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fb5; MOVSD %XMM14,0x40(%R12,%R8,1)                     ;	store;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fbc; MOVSD %XMM3,0x48(%R12,%R8,1)                      ;	store;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	800.000;	0.000;	80.000;	5.000;	63.000;	12.000;	9.000;	66.000;	0.000
Sum(Column) / LoopCount:	20.000;	0.000;	2.000;	0.125;	1.575;	0.300;	0.225;	1.650;	0.000

LoopID : 1; InstanceID : 45; LoopCount : 22; NbInsns : 40

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402e03; MOVSD 0x18(%R15,%RDI,1),%XMM4                     ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e0d; MOVSD 0x28(%R15,%RDI,1),%XMM5                     ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1c; ADDSD 0x10(%R15,%RBP,1),%XMM2                     ;	load;	f;	0x402ef9;	21;	0;	1;	0;	0;	1;	0;	1;	0
0x402e23; ADDSD 0x20(%R15,%RBP,1),%XMM4                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2a; ADDSD 0x10(%R15,%RBX,1),%XMM2                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e31; ADDSD 0x20(%R15,%RBX,1),%XMM4                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e40; MOVSD 0x10(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e4b; MOVSD 0x38(%R15,%RDI,1),%XMM7                     ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e5a; MOVSD 0x20(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e65; ADDSD 0x30(%R15,%RBP,1),%XMM5                     ;	load;	l;	0x402e65;	0;	0;	22;	0;	0;	22;	0;	22;	0
0x402e6c; MOVSD 0x48(%R15,%RDI,1),%XMM9                     ;	load;	f;	0x402e65;	10;	0;	12;	12;	0;	0;	0;	0;	0
0x402e7c; ADDSD 0x30(%R15,%RBX,1),%XMM5                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e83; ADDSD 0x40(%R15,%RBP,1),%XMM7                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e8e; ADDSD 0x40(%R15,%RBX,1),%XMM7                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e95; MOVSD %XMM2,0x18(%R12,%R8,1)                      ;	store;	l;	0x402e95;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402e9c; MOVSD 0x58(%R15,%RDI,1),%XMM11                    ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ea3; MOVSD 0x68(%R15,%RDI,1),%XMM13                    ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402eb8; ADDSD 0x50(%R15,%RBP,1),%XMM9                     ;	load;	f;	0x402e65;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402ebf; ADDSD 0x60(%R15,%RBP,1),%XMM11                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ec6; ADDSD 0x50(%R15,%RBX,1),%XMM9                     ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ecd; ADDSD 0x60(%R15,%RBX,1),%XMM11                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ede; MOVSD 0x78(%R15,%RDI,1),%XMM15                    ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ee5; MOVSD 0x88(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402ef9;	11;	0;	11;	11;	0;	0;	0;	0;	0
0x402ef9; ADDSD 0x70(%R15,%RBP,1),%XMM13                    ;	load;	l;	0x402ef9;	0;	0;	22;	0;	0;	22;	0;	22;	0
0x402f00; ADDSD 0x80(%R15,%RBP,1),%XMM15                    ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f0a; ADDSD 0x70(%R15,%RBX,1),%XMM13                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f11; ADDSD 0x80(%R15,%RBX,1),%XMM15                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f25; MOVSD %XMM3,0x10(%R12,%R8,1)                      ;	store;	f;	0x402e95;	20;	0;	2;	2;	0;	0;	0;	0;	0
0x402f2c; MOVSD 0x30(%R15,%RDI,1),%XMM6                     ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f33; MOVSD 0x40(%R15,%RDI,1),%XMM8                     ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f3a; MOVSD 0x50(%R15,%RDI,1),%XMM10                    ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f41; MOVSD 0x60(%R15,%RDI,1),%XMM12                    ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f48; MOVSD 0x70(%R15,%RDI,1),%XMM14                    ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f4f; MOVSD 0x80(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402ef9;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402f99; MOVSD %XMM6,0x20(%R12,%R8,1)                      ;	store;	f;	0x402ef9;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402fa0; MOVSD %XMM8,0x28(%R12,%R8,1)                      ;	store;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fa7; MOVSD %XMM10,0x30(%R12,%R8,1)                     ;	store;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fae; MOVSD %XMM12,0x38(%R12,%R8,1)                     ;	store;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fb5; MOVSD %XMM14,0x40(%R12,%R8,1)                     ;	store;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fbc; MOVSD %XMM3,0x48(%R12,%R8,1)                      ;	store;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	785.000;	0.000;	95.000;	28.000;	22.000;	45.000;	0.000;	67.000;	0.000
Sum(Column) / LoopCount:	19.625;	0.000;	2.375;	0.700;	0.550;	1.125;	0.000;	1.675;	0.000

LoopID : 1; InstanceID : 46; LoopCount : 22; NbInsns : 40

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402e03; MOVSD 0x18(%R15,%RDI,1),%XMM4                     ;	load;	f;	0x402eb8;	20;	0;	2;	2;	0;	0;	0;	0;	0
0x402e0d; MOVSD 0x28(%R15,%RDI,1),%XMM5                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1c; ADDSD 0x10(%R15,%RBP,1),%XMM2                     ;	load;	l;	0x402e1c;	0;	0;	22;	0;	21;	1;	0;	22;	0
0x402e23; ADDSD 0x20(%R15,%RBP,1),%XMM4                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2a; ADDSD 0x10(%R15,%RBX,1),%XMM2                     ;	load;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e31; ADDSD 0x20(%R15,%RBX,1),%XMM4                     ;	load;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e40; MOVSD 0x10(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e4b; MOVSD 0x38(%R15,%RDI,1),%XMM7                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e5a; MOVSD 0x20(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e65; ADDSD 0x30(%R15,%RBP,1),%XMM5                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e6c; MOVSD 0x48(%R15,%RDI,1),%XMM9                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e7c; ADDSD 0x30(%R15,%RBX,1),%XMM5                     ;	load;	f;	0x402e65;	11;	0;	11;	11;	0;	0;	0;	0;	0
0x402e83; ADDSD 0x40(%R15,%RBP,1),%XMM7                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e8e; ADDSD 0x40(%R15,%RBX,1),%XMM7                     ;	load;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e95; MOVSD %XMM2,0x18(%R12,%R8,1)                      ;	store;	f;	0x402fb5;	20;	0;	2;	1;	0;	1;	0;	1;	0
0x402e9c; MOVSD 0x58(%R15,%RDI,1),%XMM11                    ;	load;	f;	0x402e1c;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402ea3; MOVSD 0x68(%R15,%RDI,1),%XMM13                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402eb8; ADDSD 0x50(%R15,%RBP,1),%XMM9                     ;	load;	l;	0x402eb8;	0;	0;	22;	0;	20;	2;	0;	22;	0
0x402ebf; ADDSD 0x60(%R15,%RBP,1),%XMM11                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ec6; ADDSD 0x50(%R15,%RBX,1),%XMM9                     ;	load;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ecd; ADDSD 0x60(%R15,%RBX,1),%XMM11                    ;	load;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ede; MOVSD 0x78(%R15,%RDI,1),%XMM15                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ee5; MOVSD 0x88(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ef9; ADDSD 0x70(%R15,%RBP,1),%XMM13                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f00; ADDSD 0x80(%R15,%RBP,1),%XMM15                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f0a; ADDSD 0x70(%R15,%RBX,1),%XMM13                    ;	load;	f;	0x402ef9;	11;	0;	11;	11;	0;	0;	0;	0;	0
0x402f11; ADDSD 0x80(%R15,%RBX,1),%XMM15                    ;	load;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f25; MOVSD %XMM3,0x10(%R12,%R8,1)                      ;	store;	f;	0x402fb5;	20;	0;	2;	2;	0;	0;	0;	0;	0
0x402f2c; MOVSD 0x30(%R15,%RDI,1),%XMM6                     ;	load;	f;	0x402e1c;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402f33; MOVSD 0x40(%R15,%RDI,1),%XMM8                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f3a; MOVSD 0x50(%R15,%RDI,1),%XMM10                    ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f41; MOVSD 0x60(%R15,%RDI,1),%XMM12                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f48; MOVSD 0x70(%R15,%RDI,1),%XMM14                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f4f; MOVSD 0x80(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f99; MOVSD %XMM6,0x20(%R12,%R8,1)                      ;	store;	f;	0x402fb5;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402fa0; MOVSD %XMM8,0x28(%R12,%R8,1)                      ;	store;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fa7; MOVSD %XMM10,0x30(%R12,%R8,1)                     ;	store;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fae; MOVSD %XMM12,0x38(%R12,%R8,1)                     ;	store;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fb5; MOVSD %XMM14,0x40(%R12,%R8,1)                     ;	store;	l;	0x402fb5;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402fbc; MOVSD %XMM3,0x48(%R12,%R8,1)                      ;	store;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	783.000;	0.000;	97.000;	30.000;	63.000;	4.000;	0.000;	67.000;	0.000
Sum(Column) / LoopCount:	19.575;	0.000;	2.425;	0.750;	1.575;	0.100;	0.000;	1.675;	0.000

LoopID : 1; InstanceID : 47; LoopCount : 22; NbInsns : 40

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402e03; MOVSD 0x18(%R15,%RDI,1),%XMM4                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e0d; MOVSD 0x28(%R15,%RDI,1),%XMM5                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1c; ADDSD 0x10(%R15,%RBP,1),%XMM2                     ;	load;	f;	0x402ef9;	19;	0;	3;	2;	1;	0;	0;	1;	0
0x402e23; ADDSD 0x20(%R15,%RBP,1),%XMM4                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2a; ADDSD 0x10(%R15,%RBX,1),%XMM2                     ;	load;	f;	0x402e1c;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402e31; ADDSD 0x20(%R15,%RBX,1),%XMM4                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e40; MOVSD 0x10(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e4b; MOVSD 0x38(%R15,%RDI,1),%XMM7                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e5a; MOVSD 0x20(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e65; ADDSD 0x30(%R15,%RBP,1),%XMM5                     ;	load;	l;	0x402e65;	0;	0;	22;	0;	19;	3;	0;	22;	0
0x402e6c; MOVSD 0x48(%R15,%RDI,1),%XMM9                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e7c; ADDSD 0x30(%R15,%RBX,1),%XMM5                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e83; ADDSD 0x40(%R15,%RBP,1),%XMM7                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
